iter	Passed	Remaining
0	1	188
1	3	176
2	5	171
3	6	160
4	8	163
5	10	162
6	12	161
7	13	158
8	15	157
9	17	154
10	18	153
11	20	151
12	22	150
13	24	148
14	26	147
15	27	145
16	29	143
17	31	141
18	32	139
19	34	138
20	36	136
21	38	134
22	39	132
23	41	131
24	43	129
25	44	127
26	46	126
27	48	124
28	50	122
29	51	121
30	53	119
31	55	117
32	57	115
33	58	114
34	60	112
35	62	111
36	64	109
37	66	108
38	67	106
39	69	104
40	71	102
41	72	99
42	73	97
43	75	95
44	77	94
45	78	92
46	80	90
47	82	89
48	84	87
49	85	85
50	87	84
51	89	82
52	91	80
53	92	79
54	93	76
55	95	75
56	97	73
57	99	72
58	101	70
59	102	68
60	104	66
61	106	65
62	108	63
63	109	61
64	111	60
65	113	58
66	115	56
67	117	55
68	118	53
69	120	51
70	122	49
71	123	48
72	125	46
73	127	44
74	129	43
75	130	41
76	132	39
77	134	37
78	136	36
79	137	34
80	139	32
81	141	31
82	143	29
83	144	27
84	146	25
85	148	24
86	149	22
87	151	20
88	153	18
89	155	17
90	156	15
91	158	13
92	160	12
93	161	10
94	163	8
95	165	6
96	166	5
97	168	3
98	170	1
99	171	0
