iter	Passed	Remaining
0	162	162242
1	166	83199
2	172	57257
3	176	44016
4	181	36075
5	184	30546
6	187	26587
7	189	23494
8	191	21096
9	193	19159
10	195	17552
11	197	16221
12	199	15112
13	200	14141
14	202	13292
15	204	12558
16	205	11904
17	207	11326
18	209	10805
19	211	10339
20	213	9931
21	214	9550
22	216	9201
23	218	8880
24	220	8583
25	221	8309
26	223	8056
27	225	7816
28	227	7604
29	228	7401
30	230	7212
31	232	7038
32	234	6872
33	236	6711
34	237	6560
35	239	6417
36	241	6294
37	243	6167
38	245	6041
39	246	5926
40	248	5818
41	250	5714
42	252	5615
43	254	5521
44	256	5433
45	258	5354
46	259	5268
47	261	5189
48	263	5114
49	265	5040
50	266	4968
51	268	4897
52	270	4831
53	272	4771
54	274	4709
55	276	4653
56	277	4595
57	279	4538
58	281	4484
59	282	4432
60	284	4380
61	286	4333
62	288	4290
63	290	4245
64	292	4200
65	293	4159
66	295	4117
67	297	4075
68	299	4036
69	300	3998
70	303	3965
71	304	3928
72	306	3893
73	308	3858
74	310	3824
75	311	3791
76	313	3758
77	315	3725
78	317	3697
79	318	3666
80	320	3635
81	322	3607
82	323	3570
83	324	3542
84	326	3515
85	328	3489
86	329	3461
87	331	3437
88	333	3414
89	335	3389
90	337	3366
91	338	3342
92	340	3320
93	342	3297
94	343	3275
95	345	3253
96	347	3233
97	349	3213
98	350	3193
99	352	3174
100	354	3153
101	356	3134
102	357	3116
103	359	3098
104	361	3081
105	363	3065
106	365	3049
107	367	3032
108	368	3015
109	370	2998
110	372	2981
111	373	2964
112	375	2949
113	377	2934
114	379	2919
115	381	2904
116	382	2886
117	384	2873
118	386	2858
119	387	2845
120	390	2833
121	391	2817
122	393	2808
123	395	2796
124	397	2784
125	399	2772
126	401	2756
127	402	2744
128	404	2731
129	406	2719
130	408	2707
131	410	2696
132	411	2683
133	413	2672
134	415	2660
135	416	2648
136	418	2637
137	420	2625
138	422	2615
139	424	2605
140	426	2595
141	427	2581
142	428	2570
143	430	2560
144	432	2549
145	434	2539
146	435	2528
147	437	2518
148	439	2510
149	441	2501
150	443	2491
151	444	2482
152	446	2472
153	448	2462
154	450	2453
155	451	2444
156	453	2436
157	455	2429
158	457	2420
159	459	2411
160	460	2399
161	462	2390
162	463	2382
163	465	2373
164	467	2365
165	469	2358
166	471	2350
167	472	2342
168	474	2334
169	476	2327
170	478	2319
171	480	2312
172	482	2304
173	484	2297
174	485	2289
175	487	2282
176	489	2275
177	491	2267
178	492	2260
179	494	2253
180	496	2245
181	498	2238
182	500	2232
183	501	2225
184	503	2218
185	505	2211
186	507	2204
187	509	2198
188	510	2192
189	512	2185
190	514	2180
191	516	2174
192	518	2167
193	520	2161
194	522	2156
195	524	2149
196	525	2143
197	527	2136
198	529	2132
199	531	2125
200	533	2119
201	535	2114
202	536	2108
203	538	2102
204	540	2096
205	542	2090
206	544	2084
207	546	2079
208	547	2073
209	549	2067
210	551	2061
211	553	2056
212	554	2050
213	556	2044
214	558	2039
215	560	2034
216	562	2029
217	564	2024
218	566	2020
219	568	2015
220	570	2010
221	572	2005
222	573	1999
223	575	1995
224	577	1990
